5,2.5,4000,0.05,1
5,2.5,4500,0.05,0
5,2.5,5000,0.05,0
5,2.5,5500,0.05,1
5,2.5,6000,0.05,0
5,2.5,6500,0.05,1
5,2.5,7000,0.05,0
5,2.5,7500,0.05,1
5,2.5,8000,0.05,0
5,2.5,8500,0.05,0
5,2.5,9000,0.05,0
5,2.5,9500,0.05,2
5,2.5,10000,0.05,0
5,2.5,10500,0.05,0
5,2.5,11000,0.05,1
5,2.5,11500,0.05,1
5,2.5,12000,0.05,2
5,2.5,12500,0.05,2
5,2.5,13000,0.05,2
5,2,4000,0.05,1
5,2,4500,0.05,1
5,2,5000,0.05,1
5,2,5500,0.05,2
5,2,6000,0.05,1
5,2,6500,0.05,1
5,2,7000,0.05,0
5,2,7500,0.05,1
5,2,8000,0.05,0
5,2,8500,0.05,0
5,2,9000,0.05,1
5,2,9500,0.05,4
5,2,10000,0.05,0
5,2,10500,0.05,0
5,2,11000,0.05,1
5,2,11500,0.05,2
5,2,12000,0.05,4
5,2,12500,0.05,4
5,2,13000,0.05,4
5,1.5,4000,0.05,4
5,1.5,4500,0.05,1
5,1.5,5000,0.05,1
5,1.5,5500,0.05,3
5,1.5,6000,0.05,1
5,1.5,6500,0.05,4
5,1.5,7000,0.05,1
5,1.5,7500,0.05,4
5,1.5,8000,0.05,1
5,1.5,8500,0.05,1
5,1.5,9000,0.05,1
5,1.5,9500,0.05,4
5,1.5,10000,0.05,0
5,1.5,10500,0.05,0
5,1.5,11000,0.05,1
5,1.5,11500,0.05,4
5,1.5,12000,0.05,4
5,1.5,12500,0.05,4
5,1.5,13000,0.05,4
5,1,4000,0.05,4
5,1,4500,0.05,2
5,1,5000,0.05,4
5,1,5500,0.05,4
5,1,6000,0.05,1
5,1,6500,0.05,4
5,1,7000,0.05,1
5,1,7500,0.05,4
5,1,8000,0.05,1
5,1,8500,0.05,1
5,1,9000,0.05,4
5,1,9500,0.05,4
5,1,10000,0.05,1
5,1,10500,0.05,1
5,1,11000,0.05,4
5,1,11500,0.05,4
5,1,12000,0.05,4
5,1,12500,0.05,4
5,1,13000,0.05,4
5,0.5,4000,0.05,4
5,0.5,4500,0.05,4
5,0.5,5000,0.05,4
5,0.5,5500,0.05,4
5,0.5,6000,0.05,4
5,0.5,6500,0.05,4
5,0.5,7000,0.05,4
5,0.5,7500,0.05,4
5,0.5,8000,0.05,4
5,0.5,8500,0.05,4
5,0.5,9000,0.05,4
5,0.5,9500,0.05,4
5,0.5,10000,0.05,4
5,0.5,10500,0.05,4
5,0.5,11000,0.05,4
5,0.5,11500,0.05,4
5,0.5,12000,0.05,4
5,0.5,12500,0.05,4
5,0.5,13000,0.05,4
4,3.5,4000,0.05,1
4,3.5,4500,0.05,1
4,3.5,5000,0.05,0
4,3.5,5500,0.05,2
4,3.5,6000,0.05,1
4,3.5,6500,0.05,2
4,3.5,7000,0.05,0
4,3.5,7500,0.05,1
4,3.5,8000,0.05,0
4,3.5,8500,0.05,0
4,3.5,9000,0.05,0
4,3.5,9500,0.05,4
4,3.5,10000,0.05,0
4,3.5,10500,0.05,0
4,3.5,11000,0.05,0
4,3.5,11500,0.05,1
4,3.5,12000,0.05,4
4,3.5,12500,0.05,4
4,3.5,13000,0.05,4
4,3,4000,0.05,4
4,3,4500,0.05,2
4,3,5000,0.05,1
4,3,5500,0.05,4
4,3,6000,0.05,3
4,3,6500,0.05,1
4,3,7000,0.05,1
4,3,7500,0.05,2
4,3,8000,0.05,0
4,3,8500,0.05,1
4,3,9000,0.05,1
4,3,9500,0.05,4
4,3,10000,0.05,0
4,3,10500,0.05,0
4,3,11000,0.05,1
4,3,11500,0.05,3
4,3,12000,0.05,4
4,3,12500,0.05,4
4,3,13000,0.05,4
4,2.5,4000,0.05,4
4,2.5,4500,0.05,2
4,2.5,5000,0.05,1
4,2.5,5500,0.05,4
4,2.5,6000,0.05,3
4,2.5,6500,0.05,2
4,2.5,7000,0.05,1
4,2.5,7500,0.05,4
4,2.5,8000,0.05,1
4,2.5,8500,0.05,1
